corruption,component,layer,position,effect
random_vocab_cdef,attn_out,3,comma_B,0.000000
random_vocab_cdef,attn_out,3,C_def,0.000000
random_vocab_cdef,attn_out,3,A_doc,0.000000
random_vocab_cdef,attn_out,3,B_doc,0.000000
random_vocab_cdef,attn_out,3,END,0.931029
random_vocab_cdef,mlp_out,0,A_def,0.000000
random_vocab_cdef,mlp_out,0,B_def,0.000000
random_vocab_cdef,mlp_out,0,comma_B,0.000000
random_vocab_cdef,mlp_out,0,C_def,0.000000
random_vocab_cdef,mlp_out,0,A_doc,0.000000
random_vocab_cdef,mlp_out,0,B_doc,0.000000
random_vocab_cdef,mlp_out,0,END,0.000000
random_vocab_cdef,mlp_out,1,A_def,0.000000
random_vocab_cdef,mlp_out,1,B_def,0.000000
random_vocab_cdef,mlp_out,1,comma_B,0.000000
random_vocab_cdef,mlp_out,1,C_def,0.000000
random_vocab_cdef,mlp_out,1,A_doc,0.000000
random_vocab_cdef,mlp_out,1,B_doc,0.000000
random_vocab_cdef,mlp_out,1,END,0.000000
random_vocab_cdef,mlp_out,2,A_def,0.000000
random_vocab_cdef,mlp_out,2,B_def,0.000000
random_vocab_cdef,mlp_out,2,comma_B,0.000000
random_vocab_cdef,mlp_out,2,C_def,0.000000
random_vocab_cdef,mlp_out,2,A_doc,0.000000
random_vocab_cdef,mlp_out,2,B_doc,0.000000
random_vocab_cdef,mlp_out,2,END,0.000000
random_vocab_cdef,mlp_out,3,A_def,0.000000
random_vocab_cdef,mlp_out,3,B_def,0.000000
random_vocab_cdef,mlp_out,3,comma_B,0.000000
random_vocab_cdef,mlp_out,3,C_def,0.000000
random_vocab_cdef,mlp_out,3,A_doc,0.000000
random_vocab_cdef,mlp_out,3,B_doc,0.000000
random_vocab_cdef,mlp_out,3,END,0.000000
random_vocab_any,resid_pre,0,A_def,-0.056256
random_vocab_any,resid_pre,0,B_def,0.110891
random_vocab_any,resid_pre,0,comma_B,0.166716
random_vocab_any,resid_pre,0,C_def,0.251436
random_vocab_any,resid_pre,0,A_doc,-0.031346
random_vocab_any,resid_pre,0,B_doc,0.196764
random_vocab_any,resid_pre,0,END,0.134896
random_vocab_any,resid_pre,1,A_def,-0.075975
random_vocab_any,resid_pre,1,B_def,0.141478
random_vocab_any,resid_pre,1,comma_B,-0.066333
random_vocab_any,resid_pre,1,C_def,0.387872
random_vocab_any,resid_pre,1,A_doc,-0.009765
random_vocab_any,resid_pre,1,B_doc,0.391787
random_vocab_any,resid_pre,1,END,0.259669
random_vocab_any,resid_pre,2,A_def,-0.031265
random_vocab_any,resid_pre,2,B_def,0.104176
random_vocab_any,resid_pre,2,comma_B,0.181860
random_vocab_any,resid_pre,2,C_def,0.197915
random_vocab_any,resid_pre,2,A_doc,0.006420
random_vocab_any,resid_pre,2,B_doc,-0.035177
random_vocab_any,resid_pre,2,END,0.598887
random_vocab_any,resid_pre,3,A_def,-0.269742
random_vocab_any,resid_pre,3,B_def,-0.225972
random_vocab_any,resid_pre,3,comma_B,-0.004979
random_vocab_any,resid_pre,3,C_def,0.853506
random_vocab_any,resid_pre,3,A_doc,0.005376
random_vocab_any,resid_pre,3,B_doc,0.017360
random_vocab_any,resid_pre,3,END,0.453646
random_vocab_any,attn_out,0,A_def,-0.032488
random_vocab_any,attn_out,0,B_def,0.034425
random_vocab_any,attn_out,0,comma_B,-0.117378
random_vocab_any,attn_out,0,C_def,0.294584
random_vocab_any,attn_out,0,A_doc,-0.028409
random_vocab_any,attn_out,0,B_doc,0.258950
random_vocab_any,attn_out,0,END,0.123410
random_vocab_any,attn_out,1,A_def,0.056005
random_vocab_any,attn_out,1,B_def,0.027178
random_vocab_any,attn_out,1,comma_B,0.152305
random_vocab_any,attn_out,1,C_def,-0.158470
random_vocab_any,attn_out,1,A_doc,0.021342
random_vocab_any,attn_out,1,B_doc,-0.010534
random_vocab_any,attn_out,1,END,0.473055
random_vocab_any,attn_out,2,A_def,-0.235336
random_vocab_any,attn_out,2,B_def,-0.169715
random_vocab_any,attn_out,2,comma_B,-0.002118
random_vocab_any,attn_out,2,C_def,0.568662
random_vocab_any,attn_out,2,A_doc,-0.013711
random_vocab_any,attn_out,2,B_doc,0.052735
random_vocab_any,attn_out,2,END,0.011986
random_vocab_any,attn_out,3,A_def,0.000000
random_vocab_any,attn_out,3,B_def,0.000000
random_vocab_any,attn_out,3,comma_B,0.000000
random_vocab_any,attn_out,3,C_def,0.000000
random_vocab_any,attn_out,3,A_doc,0.000000
random_vocab_any,attn_out,3,B_doc,0.000000
random_vocab_any,attn_out,3,END,1.033282
random_vocab_any,mlp_out,0,A_def,0.000000
random_vocab_any,mlp_out,0,B_def,0.000000
random_vocab_any,mlp_out,0,comma_B,0.000000
random_vocab_any,mlp_out,0,C_def,0.000000
random_vocab_any,mlp_out,0,A_doc,0.000000
random_vocab_any,mlp_out,0,B_doc,0.000000
random_vocab_any,mlp_out,0,END,0.000000
random_vocab_any,mlp_out,1,A_def,0.000000
random_vocab_any,mlp_out,1,B_def,0.000000
random_vocab_any,mlp_out,1,comma_B,0.000000
random_vocab_any,mlp_out,1,C_def,0.000000
random_vocab_any,mlp_out,1,A_doc,0.000000
random_vocab_any,mlp_out,1,B_doc,0.000000
random_vocab_any,mlp_out,1,END,0.000000
random_vocab_any,mlp_out,2,A_def,0.000000
random_vocab_any,mlp_out,2,B_def,0.000000
random_vocab_any,mlp_out,2,comma_B,0.000000
