group,scheme,position,layer,head,path_signal,published_class
abc round 2,abc,S2,3,0,0.082939,duplicate token
abc round 2,abc,S2,3,1,0.000560,
abc round 2,abc,S2,3,2,0.000445,
abc round 2,abc,S2,3,3,0.000510,
abc round 2,abc,S2,3,4,0.001681,
abc round 2,abc,S2,3,5,-0.002264,
abc round 2,abc,S2,3,6,0.007094,
abc round 2,abc,S2,3,7,0.000245,
abc round 2,abc,S2,3,8,0.000149,
abc round 2,abc,S2,3,9,0.000168,
abc round 2,abc,S2,3,10,-0.001067,
abc round 2,abc,S2,3,11,0.000099,
abc round 2,abc,S2,4,0,-0.000194,
abc round 2,abc,S2,4,1,0.000380,
abc round 2,abc,S2,4,2,-0.000319,
abc round 2,abc,S2,4,3,0.007546,
abc round 2,abc,S2,4,4,-0.009487,
abc round 2,abc,S2,4,5,0.000768,
abc round 2,abc,S2,4,6,0.001508,
abc round 2,abc,S2,4,7,-0.002296,
abc round 2,abc,S2,4,8,0.005024,
abc round 2,abc,S2,4,9,0.000294,
abc round 2,abc,S2,4,10,0.000038,
abc round 2,abc,S2,4,11,0.000081,previous token
abc round 2,abc,S2,5,0,0.001427,
abc round 2,abc,S2,5,1,0.003145,
abc round 2,abc,S2,5,2,0.000169,
abc round 2,abc,S2,5,3,0.000711,
abc round 2,abc,S2,5,4,-0.000146,
abc round 2,abc,S2,5,5,0.194064,induction
abc round 2,abc,S2,5,6,0.000251,
abc round 2,abc,S2,5,7,0.000061,
abc round 2,abc,S2,5,8,0.007579,induction
abc round 2,abc,S2,5,9,-0.012006,induction
abc round 2,abc,S2,5,10,0.031793,
abc round 2,abc,S2,5,11,-0.004576,
abc round 2,abc,S2,6,0,0.009504,
abc round 2,abc,S2,6,1,0.000892,
abc round 2,abc,S2,6,2,-0.000311,
abc round 2,abc,S2,6,3,0.003883,
abc round 2,abc,S2,6,4,-0.000717,
abc round 2,abc,S2,6,5,-0.004417,
abc round 2,abc,S2,6,6,-0.031244,
abc round 2,abc,S2,6,7,0.003866,
abc round 2,abc,S2,6,8,0.001379,
abc round 2,abc,S2,6,9,0.040714,induction
abc round 2,abc,S2,6,10,0.001059,
abc round 2,abc,S2,6,11,0.001925,
previous-token probe (receivers layer >= 3),abc,S1+1,0,0,0.000494,
previous-token probe (receivers layer >= 3),abc,S1+1,0,1,-0.000006,duplicate token
previous-token probe (receivers layer >= 3),abc,S1+1,0,2,0.000551,
previous-token probe (receivers layer >= 3),abc,S1+1,0,3,0.000037,
previous-token probe (receivers layer >= 3),abc,S1+1,0,4,0.001677,
previous-token probe (receivers layer >= 3),abc,S1+1,0,5,0.000015,
previous-token probe (receivers layer >= 3),abc,S1+1,0,6,0.004857,
previous-token probe (receivers layer >= 3),abc,S1+1,0,7,0.017185,
previous-token probe (receivers layer >= 3),abc,S1+1,0,8,0.000318,
previous-token probe (receivers layer >= 3),abc,S1+1,0,9,0.000624,
previous-token probe (receivers layer >= 3),abc,S1+1,0,10,0.000809,duplicate token
previous-token probe (receivers layer >= 3),abc,S1+1,0,11,0.000212,
previous-token probe (receivers layer >= 3),abc,S1+1,1,0,0.059578,
previous-token probe (receivers layer >= 3),abc,S1+1,1,1,0.004569,
previous-token probe (receivers layer >= 3),abc,S1+1,1,2,0.000631,
previous-token probe (receivers layer >= 3),abc,S1+1,1,3,0.000282,
previous-token probe (receivers layer >= 3),abc,S1+1,1,4,0.003826,
previous-token probe (receivers layer >= 3),abc,S1+1,1,5,0.001731,
previous-token probe (receivers layer >= 3),abc,S1+1,1,6,0.000686,
previous-token probe (receivers layer >= 3),abc,S1+1,1,7,0.003410,
previous-token probe (receivers layer >= 3),abc,S1+1,1,8,-0.000109,
previous-token probe (receivers layer >= 3),abc,S1+1,1,9,-0.000001,
previous-token probe (receivers layer >= 3),abc,S1+1,1,10,-0.001321,
previous-token probe (receivers layer >= 3),abc,S1+1,1,11,-0.006245,
previous-token probe (receivers layer >= 3),abc,S1+1,2,0,0.006021,
previous-token probe (receivers layer >= 3),abc,S1+1,2,1,0.003209,
previous-token probe (receivers layer >= 3),abc,S1+1,2,2,0.196729,previous token
previous-token probe (receivers layer >= 3),abc,S1+1,2,3,0.008494,
previous-token probe (receivers layer >= 3),abc,S1+1,2,4,0.016768,
previous-token probe (receivers layer >= 3),abc,S1+1,2,5,0.001430,
