corruption,metric,layer,head,position,effect,published_class
yy01,logit_diff,8,10,YY+1,-0.000011,
yy01,logit_diff,8,10,END,-0.003000,
yy01,logit_diff,8,11,NOUN,0.000000,year head -> MLP 8
yy01,logit_diff,8,11,XX1,0.000000,year head -> MLP 8
yy01,logit_diff,8,11,YY,0.000559,year head -> MLP 8
yy01,logit_diff,8,11,YY+1,0.000001,year head -> MLP 8
yy01,logit_diff,8,11,END,0.082801,year head -> MLP 8
yy01,logit_diff,9,0,NOUN,0.000000,
yy01,logit_diff,9,0,XX1,0.000000,
yy01,logit_diff,9,0,YY,-0.000369,
yy01,logit_diff,9,0,YY+1,0.000004,
yy01,logit_diff,9,0,END,0.000123,
yy01,logit_diff,9,1,NOUN,0.000000,year head -> MLP 9
yy01,logit_diff,9,1,XX1,0.000000,year head -> MLP 9
yy01,logit_diff,9,1,YY,0.000059,year head -> MLP 9
yy01,logit_diff,9,1,YY+1,0.000066,year head -> MLP 9
yy01,logit_diff,9,1,END,0.252204,year head -> MLP 9
yy01,logit_diff,9,2,NOUN,0.000000,
yy01,logit_diff,9,2,XX1,0.000000,
yy01,logit_diff,9,2,YY,0.000023,
yy01,logit_diff,9,2,YY+1,-0.000000,
yy01,logit_diff,9,2,END,-0.000132,
yy01,logit_diff,9,3,NOUN,0.000000,
yy01,logit_diff,9,3,XX1,0.000000,
yy01,logit_diff,9,3,YY,0.000201,
yy01,logit_diff,9,3,YY+1,0.000011,
yy01,logit_diff,9,3,END,0.001692,
yy01,logit_diff,9,4,NOUN,0.000000,
yy01,logit_diff,9,4,XX1,0.000000,
yy01,logit_diff,9,4,YY,-0.000007,
