layer,head,position,normalized_effect,published_class
9,0,S2+1,-0.000009,backup name mover
9,0,END,0.001368,backup name mover
9,1,IO,0.000000,
9,1,IO+1,0.000000,
9,1,S1,0.000000,
9,1,S1+1,0.000000,
9,1,S2,0.000058,
9,1,S2+1,-0.000001,
9,1,END,-0.001024,
9,2,IO,0.000000,
9,2,IO+1,0.000000,
9,2,S1,0.000000,
9,2,S1+1,0.000000,
9,2,S2,-0.000087,
9,2,S2+1,0.000069,
9,2,END,0.006328,
9,3,IO,0.000000,
9,3,IO+1,0.000000,
9,3,S1,0.000000,
9,3,S1+1,0.000000,
9,3,S2,-0.000125,
9,3,S2+1,0.000045,
9,3,END,0.029292,
9,4,IO,0.000000,
9,4,IO+1,0.000000,
9,4,S1,0.000000,
9,4,S1+1,0.000000,
9,4,S2,-0.000039,
9,4,S2+1,-0.000150,
9,4,END,-0.027490,
9,5,IO,0.000000,
9,5,IO+1,0.000000,
9,5,S1,0.000000,
9,5,S1+1,0.000000,
9,5,S2,0.000180,
9,5,S2+1,0.000421,
9,5,END,0.016286,
9,6,IO,0.000000,name mover
9,6,IO+1,0.000000,name mover
9,6,S1,0.000000,name mover
9,6,S1+1,0.000000,name mover
9,6,S2,-0.000006,name mover
9,6,S2+1,-0.000282,name mover
9,6,END,-0.060819,name mover
9,7,IO,0.000000,backup name mover
9,7,IO+1,0.000000,backup name mover
9,7,S1,0.000000,backup name mover
9,7,S1+1,0.000000,backup name mover
9,7,S2,0.000311,backup name mover
9,7,S2+1,0.001698,backup name mover
9,7,END,0.098106,backup name mover
9,8,IO,0.000000,
9,8,IO+1,0.000000,
9,8,S1,0.000000,
9,8,S1+1,0.000000,
9,8,S2,-0.000416,
9,8,S2+1,-0.000058,
9,8,END,-0.001941,
9,9,IO,0.000000,name mover
9,9,IO+1,0.000000,name mover
9,9,S1,0.000000,name mover
9,9,S1+1,0.000000,name mover
9,9,S2,-0.000102,name mover
9,9,S2+1,0.002283,name mover
9,9,END,0.188914,name mover
9,10,IO,0.000000,
9,10,IO+1,0.000000,
9,10,S1,0.000000,
9,10,S1+1,0.000000,
9,10,S2,-0.000011,
9,10,S2+1,0.000008,
9,10,END,0.000564,
9,11,IO,0.000000,
9,11,IO+1,0.000000,
9,11,S1,0.000000,
9,11,S1+1,0.000000,
9,11,S2,0.000003,
9,11,S2+1,-0.000005,
9,11,END,-0.000456,
10,0,IO,0.000000,name mover
10,0,IO+1,0.000000,name mover
10,0,S1,0.000000,name mover
10,0,S1+1,0.000000,name mover
10,0,S2,-0.000298,name mover
10,0,S2+1,0.002318,name mover
10,0,END,0.106983,name mover
10,1,IO,0.000000,backup name mover
10,1,IO+1,0.000000,backup name mover
10,1,S1,0.000000,backup name mover
10,1,S1+1,0.000000,backup name mover
10,1,S2,0.000001,backup name mover
10,1,S2+1,0.000337,backup name mover
10,1,END,0.032977,backup name mover
10,2,IO,0.000000,backup name mover
10,2,IO+1,0.000000,backup name mover
10,2,S1,0.000000,backup name mover
10,2,S1+1,0.000000,backup name mover
10,2,S2,-0.000119,backup name mover
10,2,S2+1,0.000090,backup name mover
10,2,END,0.013018,backup name mover
10,3,IO,0.000000,
10,3,IO+1,0.000000,
10,3,S1,0.000000,
10,3,S1+1,0.000000,
10,3,S2,0.000000,
10,3,S2+1,-0.000023,
10,3,END,0.005365,
10,4,IO,0.000000,
10,4,IO+1,0.000000,
10,4,S1,0.000000,
10,4,S1+1,0.000000,
10,4,S2,0.000064,
10,4,S2+1,0.000005,
10,4,END,-0.000083,
10,5,IO,0.000000,
10,5,IO+1,0.000000,
10,5,S1,0.000000,
10,5,S1+1,0.000000,
10,5,S2,-0.000073,
10,5,S2+1,-0.000010,
10,5,END,0.000505,
10,6,IO,0.000000,backup name mover
10,6,IO+1,0.000000,backup name mover
10,6,S1,0.000000,backup name mover
10,6,S1+1,0.000000,backup name mover
10,6,S2,-0.000036,backup name mover
10,6,S2+1,0.001179,backup name mover
10,6,END,0.059930,backup name mover
10,7,IO,0.000000,negative name mover
10,7,IO+1,0.000000,negative name mover
10,7,S1,0.000000,negative name mover
10,7,S1+1,0.000000,negative name mover
10,7,S2,0.000109,negative name mover
10,7,S2+1,-0.003384,negative name mover
10,7,END,-0.484614,negative name mover
10,8,IO,0.000000,
10,8,IO+1,0.000000,
10,8,S1,0.000000,
10,8,S1+1,0.000000,
10,8,S2,-0.000001,
10,8,S2+1,0.000000,
10,8,END,-0.000192,
10,9,IO,0.000000,
10,9,IO+1,0.000000,
10,9,S1,0.000000,
10,9,S1+1,0.000000,
10,9,S2,-0.000072,
10,9,S2+1,0.000124,
10,9,END,0.008958,
10,10,IO,0.000000,backup name mover
10,10,IO+1,0.000000,backup name mover
10,10,S1,0.000000,backup name mover
10,10,S1+1,0.000000,backup name mover
10,10,S2,0.000030,backup name mover
10,10,S2+1,0.001177,backup name mover
10,10,END,0.053566,backup name mover
10,11,IO,0.000000,
10,11,IO+1,0.000000,
10,11,S1,0.000000,
10,11,S1+1,0.000000,
10,11,S2,-0.000040,
10,11,S2+1,0.000022,
10,11,END,0.002188,
11,0,IO,0.000000,
11,0,IO+1,0.000000,
11,0,S1,0.000000,
11,0,S1+1,0.000000,
11,0,S2,0.000000,
11,0,S2+1,0.000000,
11,0,END,0.003631,
11,1,IO,0.000000,
11,1,IO+1,0.000000,
11,1,S1,0.000000,
11,1,S1+1,0.000000,
11,1,S2,0.000000,
11,1,S2+1,0.000000,
11,1,END,-0.006532,
11,2,IO,0.000000,backup name mover
11,2,IO+1,0.000000,backup name mover
11,2,S1,0.000000,backup name mover
11,2,S1+1,0.000000,backup name mover
11,2,S2,0.000000,backup name mover
11,2,S2+1,0.000000,backup name mover
11,2,END,-0.107090,backup name mover
11,3,IO,0.000000,
